id,Épica,Tipo,Historia de usuario,Criterios de aceptación,Valor (1–5),Riesgo (1–5),Puntos,Prioridad,¿Trata datos personales?,¿Requisitos de seguridad?,Sprint previsto
SP-01,Geolocalización,Spike,Investigar el SDK de mapas y su costo con un límite de cuatro horas,"Documento de conclusión con SDK elegido, restricciones y prueba mínima",4,5,3,12,Sí: ubicación durante la prueba,Sí: claves y permisos de ubicación,3
US-12,Reservas,Historia,Como usuario quiero cancelar una reserva dentro del plazo permitido para liberar el horario,"La app informa la política, solicita confirmación y registra la cancelación una sola vez",4,5,5,13,Sí: historial de reservas,Sí: autorización e integridad,4
US-13,Reservas,Historia,Como usuario quiero reprogramar una reserva para cambiar el horario sin crear duplicados,La operación valida disponibilidad y conserva una sola reserva activa,4,5,8,14,Sí: historial de reservas,Sí: autorización e integridad,5
US-20,Administración,Historia,Como administrador quiero registrar una instalación para publicarla en el catálogo,Solo un administrador autorizado registra datos obligatorios y ubicación válida,4,5,8,15,Sí: contacto del administrador,Sí: rol y autorización,6
US-21,Administración,Historia,Como administrador quiero editar una instalación propia para mantener su información actualizada,Solo el responsable autorizado modifica la instalación y los cambios quedan registrados,4,5,5,16,Sí: contacto del administrador,Sí: autorización y auditoría,6
US-23,Administración,Historia,Como administrador quiero bloquear horarios no disponibles para evitar reservas inválidas,El bloqueo impide nuevas reservas y no elimina reservas existentes sin confirmación,4,5,5,17,No,Sí: autorización e integridad,7
US-24,Administración,Historia,Como administrador quiero consultar las reservas de mi instalación para organizar la atención,Solo se muestran reservas de instalaciones administradas por la cuenta y se minimizan datos del cliente,4,5,5,18,Sí: nombre y datos de reserva,Sí: autorización y minimización,7
US-25,Administración,Historia,Como administrador quiero actualizar el estado de una reserva para reflejar su atención,Solo se permiten transiciones válidas y cada cambio queda asociado al administrador,4,5,3,19,Sí: historial de reserva,Sí: autorización y auditoría,7
US-29,Acceso,Historia,Como usuario quiero recuperar el acceso mediante mi correo si olvido la contraseña,El flujo usa un token temporal y no revela si el correo pertenece a una cuenta,4,5,5,20,Sí: correo,Sí: token y cambio de contraseña,5
US-04,Descubrimiento,Historia,Como deportista amateur quiero consultar el detalle de una instalación para decidir si me conviene,docs/sprints/criterios/US-04.feature,5,3,3,21,No,No,2
US-05,Descubrimiento,Historia,Como deportista amateur quiero filtrar instalaciones por deporte para encontrar espacios adecuados,docs/sprints/criterios/US-05.feature,5,3,3,22,No,No,2
TD-03,Calidad,Deuda técnica,Configurar pruebas automatizadas del flujo principal para detectar regresiones,Las pruebas de registro e inicio de sesión se ejecutan en CI y generan resultado,4,4,5,23,No,Sí: datos de prueba no reales,3
US-15,Notificaciones,Historia,Como usuario quiero recibir un recordatorio antes de mi reserva para evitar olvidarla,El aviso corresponde a una reserva propia y respeta la preferencia del usuario,4,4,5,24,Sí: token y datos de reserva,Sí: autorización y privacidad,5
US-22,Administración,Historia,Como administrador quiero definir horarios de atención para publicar turnos reservables,"Los horarios no se solapan, respetan zona horaria y validan apertura y cierre",4,4,5,25,No,Sí: autorización,6
US-28,Acceso,Historia,Como usuario quiero cerrar sesión para impedir el acceso desde un dispositivo compartido,La sesión y los datos sensibles locales se eliminan sin borrar información del servidor,4,4,2,26,Sí: sesión,Sí: cierre y limpieza de sesión,3
SP-02,Notificaciones,Spike,Investigar el servicio de notificaciones y su configuración con un límite de cuatro horas,Documento de conclusión y envío de prueba sin secretos versionados,3,5,3,27,Sí: token de dispositivo de prueba,Sí: claves y tokens,5
US-30,Privacidad,Historia,Como usuario quiero solicitar la eliminación de mi cuenta para controlar mis datos personales,"La app confirma identidad, explica consecuencias y registra la solicitud de eliminación",3,5,8,28,Sí: todos los datos de la cuenta,Sí: reautenticación y borrado,7
US-14,Notificaciones,Historia,Como usuario quiero decidir si permito notificaciones para controlar los avisos que recibo,La solicitud explica el beneficio y la app funciona si el permiso se rechaza,4,3,2,29,Sí: token del dispositivo,Sí: consentimiento y token,5
US-16,Perfil,Historia,Como usuario quiero consultar mi perfil para revisar mis datos registrados,El perfil solo es visible para la cuenta autenticada y cubre cuatro estados de interfaz,3,4,3,30,"Sí: nombre, correo y preferencias",Sí: autorización,5
US-17,Perfil,Historia,Como usuario quiero editar mi perfil para mantener mis datos actualizados,"La app valida cambios, solicita confirmación para datos sensibles y registra la actualización",3,4,5,31,"Sí: nombre, correo y preferencias",Sí: autorización y validación,6
US-26,Calidad,Historia,Como usuario quiero calificar una instalación después de una reserva para compartir mi experiencia,Solo una reserva completada permite una calificación y el usuario puede editarla,3,3,5,32,Sí: opinión e identificador de cuenta,Sí: autorización y moderación,7
US-18,Perfil,Historia,Como usuario quiero registrar mis deportes preferidos para personalizar la búsqueda,"El usuario selecciona, elimina y guarda deportes sin afectar otros datos",3,2,3,33,Sí: preferencias deportivas,Sí: privacidad del perfil,6
US-19,Descubrimiento,Historia,Como usuario quiero guardar instalaciones favoritas para encontrarlas nuevamente,El usuario puede agregar y quitar favoritos; la lista pertenece a su cuenta,3,2,3,34,Sí: preferencias e identificador de cuenta,Sí: autorización,6
US-27,Geolocalización,Historia,Como usuario quiero abrir la ruta hacia una instalación para llegar con una aplicación de mapas,La app solicita confirmación y abre coordenadas válidas sin enviar datos de cuenta,3,2,2,35,Sí: ubicación usada por la aplicación de mapas,Sí: transferencia a otra aplicación,7
